88:A2:9E:9B:5E:6A,B8:27:EB:D3:40:06,D8:3A:DD:79:8E:BF,D8:3A:DD:79:8F:80,D8:3A:DD:C1:88:BD
-87.45454545454545,-89.11111111111111,-83.46237979369916,-63.11666666666667,-90.0
-98.25,-97.0,-83.46237979369916,-91.6,-98.0
-84.33962264150944,-88.18181818181819,-83.46237979369916,-56.81040892193309,-90.75
-99.5,-79.52631578947368,-78.1875,-98.0,-89.95268995137417
-75.35897435897436,-86.5,-83.46237979369916,-83.83333333333333,-89.95268995137417
-86.875,-83.93103448275862,-83.46237979369916,-86.05555555555556,-89.95268995137417
-85.53321575819226,-76.34782608695652,-76.59649122807018,-84.0,-89.95268995137417
-96.75,-84.26382188748329,-83.46237979369916,-93.375,-92.5
-92.0,-73.8,-63.22222222222222,-80.95983555403093,-89.95268995137417
-95.85714285714286,-84.26382188748329,-83.46237979369916,-91.0,-97.66666666666667
-78.39393939393939,-85.22916666666667,-91.16666666666667,-83.51724137931035,-89.95268995137417
-90.0,-75.875,-88.0,-80.95983555403093,-89.95268995137417
-80.5,-77.33333333333333,-83.46237979369916,-88.5,-89.95268995137417
-96.0,-84.26382188748329,-83.46237979369916,-85.5,-85.5
-90.0,-75.82857142857142,-69.58823529411765,-80.95983555403093,-89.95268995137417
-78.88679245283019,-79.26506024096386,-85.66666666666667,-85.45,-89.95268995137417
-76.13636363636364,-79.859375,-83.46237979369916,-75.2,-89.95268995137417
-83.5,-74.0,-83.46237979369916,-53.0,-89.95268995137417
-89.5,-77.51898734177215,-89.17647058823529,-93.4,-89.95268995137417
-93.0,-91.0,-83.46237979369916,-58.166666666666664,-98.0
-88.08333333333333,-86.78947368421052,-83.46237979369916,-81.08333333333333,-89.95268995137417
-85.53321575819226,-87.60606060606061,-83.45945945945945,-102.0,-89.95268995137417
-89.5,-95.25,-83.46237979369916,-82.0,-89.95268995137417
-94.0,-85.47368421052632,-83.46237979369916,-88.42105263157895,-89.95268995137417
-84.55882352941177,-76.29411764705883,-85.72727272727273,-91.95,-89.95268995137417
-95.83333333333333,-102.0,-83.46237979369916,-94.28571428571429,-92.92857142857143
-76.4090909090909,-83.33333333333333,-83.46237979369916,-91.0,-89.95268995137417
-92.6,-93.0,-83.46237979369916,-89.75,-89.95268995137417
-65.0,-86.33333333333333,-92.56521739130434,-80.95983555403093,-89.95268995137417
-84.0,-76.5,-92.0,-80.95983555403093,-89.95268995137417
-84.0,-73.6923076923077,-83.46237979369916,-86.0,-89.95268995137417
-91.0,-80.4,-88.5,-93.0,-89.95268995137417
-63.32786885245902,-86.04166666666667,-83.46237979369916,-79.15094339622641,-89.95268995137417
-75.0,-84.26382188748329,-80.0,-83.6,-89.95268995137417
-87.3,-84.0,-83.46237979369916,-75.28571428571429,-89.95268995137417
-82.72727272727273,-81.0952380952381,-85.8,-75.1304347826087,-89.95268995137417
-97.0,-84.26382188748329,-83.46237979369916,-92.0,-86.0
-83.5,-75.28571428571429,-83.46237979369916,-84.0,-89.95268995137417
-96.25,-91.0,-83.46237979369916,-91.14285714285714,-88.33333333333333
-80.0,-80.5,-83.46237979369916,-71.16666666666667,-89.95268995137417
-82.83333333333333,-85.01886792452831,-76.65217391304348,-79.19642857142857,-83.3157894736842
-96.83333333333333,-93.6,-83.46237979369916,-85.38095238095238,-89.95268995137417
-82.0,-85.0,-83.46237979369916,-75.0,-89.95268995137417
-81.75,-79.0,-83.46237979369916,-77.2,-89.95268995137417
-97.66666666666667,-100.5,-83.46237979369916,-87.375,-97.75
-81.6875,-81.0,-83.46237979369916,-63.1875,-89.95268995137417
-81.6,-64.45454545454545,-84.66666666666667,-74.07692307692308,-97.0
-96.2,-96.6,-83.46237979369916,-90.86666666666666,-89.95268995137417
-83.92592592592592,-89.0,-83.46237979369916,-74.26086956521739,-89.95268995137417
-91.66666666666667,-84.26382188748329,-83.46237979369916,-51.714285714285715,-91.66666666666667
-78.425,-77.5,-83.46237979369916,-54.46376811594203,-88.5
-83.96551724137932,-88.5,-83.46237979369916,-56.02512562814071,-86.66666666666667
-84.125,-78.28,-69.4375,-80.35714285714286,-99.0
-85.66666666666667,-89.0,-83.46237979369916,-75.9,-89.0
-72.46153846153847,-72.33333333333333,-73.0,-71.0,-86.5
-83.58823529411765,-87.15384615384616,-83.46237979369916,-88.92857142857143,-89.95268995137417
-82.08888888888889,-88.27777777777777,-83.46237979369916,-78.8913043478261,-89.95268995137417
-92.5,-98.66666666666667,-83.46237979369916,-92.0,-102.0
-80.85714285714286,-84.5,-83.46237979369916,-74.06666666666666,-86.5
-92.0,-84.26382188748329,-83.46237979369916,-90.0,-88.63157894736842
-78.46153846153847,-88.83333333333333,-83.46237979369916,-81.28571428571429,-89.95268995137417
-89.72151898734177,-86.97297297297297,-88.8,-79.77777777777777,-90.0
-85.53321575819226,-92.25,-93.0,-87.0,-89.95268995137417
-79.75,-80.0,-83.46237979369916,-88.0,-89.95268995137417
-97.0,-84.53846153846153,-98.33333333333333,-94.45454545454545,-89.95268995137417
-73.78571428571429,-79.625,-78.0,-78.0,-89.95268995137417
-88.0,-71.5,-82.0,-80.95983555403093,-89.95268995137417
-84.74285714285715,-84.26382188748329,-83.46237979369916,-53.074074074074076,-89.2
-77.72222222222223,-86.33333333333333,-83.46237979369916,-76.67857142857143,-89.95268995137417
-87.0,-86.66666666666667,-83.46237979369916,-75.66666666666667,-91.4
-93.0,-84.26382188748329,-83.46237979369916,-93.0,-86.5
-86.75,-83.5,-83.46237979369916,-80.05882352941177,-91.0
-85.53321575819226,-82.0,-98.0,-93.0,-89.95268995137417
-96.55555555555556,-97.0,-83.46237979369916,-89.07692307692308,-98.0
-98.0,-95.66666666666667,-83.46237979369916,-91.5,-95.77777777777777
-91.0,-79.66666666666667,-87.0,-91.0,-89.95268995137417
-89.55555555555556,-89.25,-83.46237979369916,-85.26666666666667,-85.7
-72.44,-87.16666666666667,-83.46237979369916,-85.6,-89.95268995137417
