lat_r,lon_r,88:A2:9E:9B:5E:6A,B8:27:EB:D3:40:06,D8:3A:DD:79:8E:BF,D8:3A:DD:79:8F:80,D8:3A:DD:C1:88:BD
36.6255,127.4571,-74.88235294117646,-79.03846153846153,-67.89473684210526,-90.1,-76.85714285714286
36.6282,127.4573,,-92.25,-93.0,-87.0,
36.6285,127.4568,-73.78571428571429,-79.625,-78.0,-78.0,
36.6285,127.4569,-84.0,-73.6923076923077,,-86.0,
36.6287,127.4606,-81.2442396313364,-80.46648044692738,-73.47328244274809,-78.8135593220339,-73.0
36.6288,127.4578,-89.0,-76.23076923076923,-85.0,,
36.6288,127.4579,-90.0,-78.2439024390244,-73.86842105263158,,
36.6289,127.4571,-82.72727272727273,-81.0952380952381,-85.8,-75.1304347826087,
36.6291,127.4575,,-85.86538461538461,-84.225,-99.0,
36.6291,127.4577,-75.0,-85.14285714285714,-86.5,-83.6,
36.6292,127.4573,,-78.29591836734694,-77.44262295081967,-89.5,
36.6292,127.4574,-94.0,-82.43103448275862,-90.07142857142857,,
36.6292,127.4575,-82.46666666666667,-73.91304347826087,-85.33333333333333,-54.5,
36.6292,127.4577,-92.0,-79.78571428571429,-73.21428571428571,,
36.6293,127.4571,,-88.0,-94.53846153846153,-97.0,
36.6293,127.4572,-74.66666666666667,-87.51515151515152,-92.58333333333333,-94.0,
36.6293,127.4573,-91.0,-84.5,-91.0,-91.0,
36.6293,127.4575,-95.0,-72.07692307692308,-92.0,,
36.6294,127.4569,-94.53333333333333,-87.04838709677419,-81.05263157894737,-92.17647058823529,
36.6294,127.457,-92.33333333333333,-79.04347826086956,-89.57894736842105,-92.875,
36.6294,127.4571,-91.0,-82.96,-88.5,-94.66666666666667,
36.6294,127.4572,-91.0,-83.22222222222223,-91.0,,
36.6294,127.4573,-85.0,-79.75,-83.0,,
36.6294,127.4574,-84.72222222222223,-76.48809523809524,-85.72727272727273,-91.95,
36.6294,127.4575,-90.0,-69.82352941176471,-87.5,,
36.6295,127.4567,-92.75,-90.0909090909091,-98.0,-90.4,
36.6295,127.4568,-97.0,-86.10810810810811,-98.33333333333333,-93.73333333333333,
36.6295,127.4569,-94.0,-83.625,-96.0,-90.4,
36.6295,127.457,-88.0,-80.1,-87.5,-91.5,
36.6295,127.4572,-89.0,-82.36666666666666,-92.0,,
36.6295,127.4574,-77.625,-82.88888888888889,-92.0,-93.0,
36.6296,127.4556,-76.25,-91.75,,-94.0,
36.6296,127.4565,-91.4,-86.83333333333333,,-89.0,
36.6296,127.4566,-85.46666666666667,-86.88095238095238,,-88.14285714285714,
36.6296,127.4567,-91.41509433962264,-86.47457627118644,,-89.14814814814815,
36.6296,127.4568,-88.22222222222223,-82.75,,-88.75,
36.6296,127.457,-89.85185185185185,-87.19658119658119,-88.8,-79.77777777777777,-90.0
36.6296,127.4571,-90.66666666666667,-75.875,-88.0,,
36.6297,127.4559,-75.3,-81.66666666666667,,-74.20454545454545,
36.6297,127.4564,-83.75,-88.0,,-88.52380952380952,
36.6297,127.4565,-87.22727272727273,-85.31428571428572,,-86.71428571428571,
36.6297,127.4566,-85.95652173913044,-87.04166666666667,,-81.08333333333333,
36.6297,127.4568,-84.33333333333333,-77.66666666666667,,-53.0,
36.6297,127.4569,-90.3125,-84.05263157894737,,-90.0,
36.6298,127.4561,-80.72727272727273,-91.6,,-87.63157894736842,
36.6298,127.4562,-80.75,-89.23076923076923,,-81.73333333333333,
36.6298,127.4563,-66.06024096385542,-86.24489795918367,,-79.91379310344827,
36.6298,127.4564,-78.6701030927835,-87.6829268292683,,-85.81481481481481,
36.6298,127.4565,-80.88888888888889,-94.0,,-89.75,
36.6298,127.4566,-78.12857142857143,-78.88888888888889,,-74.05405405405405,-88.0
36.6298,127.4567,-79.64583333333333,-77.5,,-54.46376811594203,-88.5
36.6298,127.4568,-84.83333333333333,-78.57142857142857,-92.0,-92.0,
36.6299,127.456,-82.0,-85.0,,-75.0,
36.6299,127.4561,-85.06451612903226,-91.75,,-82.88461538461539,
36.6299,127.4562,-80.17333333333333,-79.52941176470588,-85.66666666666667,-85.4074074074074,
36.6299,127.4563,-79.25,-90.33333333333333,,-93.0,
36.6299,127.4564,-82.52,-90.2,,-64.67647058823529,
36.6299,127.4565,-82.86666666666666,-87.57894736842105,,-83.08333333333333,
36.6299,127.4566,-82.53333333333333,-86.8,,-91.0,
36.6299,127.4568,-89.42857142857143,-86.83333333333333,,-90.4,
36.63,127.4559,-85.3030303030303,-78.28,-69.4375,-81.63333333333334,-99.0
36.63,127.456,-87.22,-90.46666666666667,,-67.28,-90.0
36.63,127.4561,-82.16216216216216,-89.11111111111111,,-81.03703703703704,
36.63,127.4563,-79.25806451612904,-90.11764705882354,,-85.05555555555556,
36.63,127.4564,-81.8,-86.5,,-88.0,
36.63,127.4565,-79.05,-87.0,,-86.4,
36.6301,127.4553,-95.0,-92.0,,-83.33333333333333,
36.6301,127.4554,-94.0,-97.0,,-82.5,
36.6301,127.4557,-93.0,-91.5,,-85.13333333333334,
36.6301,127.4558,-92.04651162790698,-92.44,,-82.15068493150685,
36.6301,127.4559,-88.75862068965517,-94.25,,-76.47368421052632,
36.6301,127.456,-89.6,-83.625,,-78.11111111111111,
36.6301,127.4561,-80.46341463414635,-78.53846153846153,-73.0,-76.92307692307692,-86.5
36.6301,127.4562,-84.08247422680412,-90.2,,-57.42583732057416,-86.66666666666667
36.6301,127.4563,-87.83333333333333,-93.0,,-90.4,
36.6301,127.4565,-80.4,-88.5,,-88.0,
36.6301,127.4566,-79.0625,-91.0,,-87.0,
36.6302,127.4555,-93.2,-98.66666666666667,,-89.33333333333333,-102.0
36.6302,127.4556,-93.35483870967742,-95.6,,-85.82051282051282,-98.0
36.6302,127.4557,-95.11111111111111,-93.4,,-85.3103448275862,
36.6302,127.4558,-87.3125,-92.22222222222223,,-63.71134020618557,
36.6302,127.4559,-87.44444444444444,-95.5,,-72.45454545454545,
36.6302,127.456,-82.92,-88.07142857142857,,-76.9090909090909,-86.5
36.6302,127.4561,-86.25925925925925,-91.29166666666667,,-72.45161290322581,
36.6303,127.4554,-95.85714285714286,,,-85.85714285714286,-97.66666666666667
36.6303,127.4555,-94.41666666666667,-94.25,,-85.28571428571429,-97.75
36.6303,127.4556,-91.5,-89.73684210526316,,-79.76666666666667,
36.6303,127.4557,-87.23529411764706,-68.92307692307692,-84.66666666666667,-78.96666666666667,-97.0
36.6303,127.4558,-84.64545454545454,-88.88235294117646,,-58.31475409836066,-90.75
36.6303,127.4559,-77.55102040816327,-79.859375,,-76.7741935483871,
36.6303,127.4561,-87.7,-89.66666666666667,,-66.19354838709677,
36.6304,127.4552,-97.8,-97.0,,-85.21428571428571,-98.0
36.6304,127.4553,-96.36363636363636,-93.375,,-88.04347826086956,-95.77777777777777
36.6304,127.4554,-92.13333333333334,-91.47368421052632,,-75.44117647058823,-98.0
36.6304,127.4555,-91.57142857142857,-89.33333333333333,,-76.71428571428571,-86.0
36.6304,127.4556,-87.0,-87.28571428571429,,-77.94444444444444,-91.4
36.6304,127.4557,-90.75,-86.5,,-74.37142857142857,-89.0
36.6304,127.4558,-87.3,-93.25,,-74.38709677419355,
36.6304,127.456,-87.0,-95.0,,-83.0,
36.6304,127.4566,-91.66666666666667,,,-51.714285714285715,-91.66666666666667
36.6305,127.4544,-92.66666666666667,-88.5,,-91.0,
36.6305,127.4545,-91.6,-88.625,,-87.33333333333333,
36.6305,127.4547,-97.0,-88.66666666666667,,-88.0,
36.6305,127.455,-96.0,-91.5,,-89.8,-86.0
36.6305,127.4551,-94.88888888888889,-96.25,,-90.3529411764706,-92.92857142857143
36.6305,127.4552,-95.16666666666667,-93.33333333333333,,-89.86363636363636,-92.5
36.6305,127.4553,-88.61538461538461,-91.47058823529412,,-83.3125,
36.6305,127.4554,-91.0,-82.9090909090909,,-79.05128205128206,-87.875
36.6305,127.4555,-87.4,-83.5,,-81.38461538461539,-91.0
36.6306,127.4549,,-97.0,,-86.2,-94.8
36.6306,127.455,-75.66666666666667,-91.8,,-84.75510204081633,-93.6
36.6306,127.4551,-99.0,,,-87.5,-92.2
36.6306,127.4552,-85.66666666666667,-89.0,,-78.08571428571429,-89.0
36.6306,127.4553,-92.75,-93.9090909090909,,-87.16666666666667,-88.33333333333333
36.6306,127.4554,-91.0,-92.55555555555556,,-87.125,-86.5
36.6306,127.4564,-84.74285714285715,,,-53.074074074074076,-89.2
36.6307,127.4548,-91.0,-89.5,,-87.7,
36.6307,127.455,-92.44444444444444,-93.0,,-85.38709677419355,
36.6308,127.4546,-87.66666666666667,-93.0,,-91.0,
36.6308,127.4547,-93.0,-93.0,,-86.88888888888889,-86.0
36.6308,127.4548,-96.0,,,-85.5,-85.5
36.6308,127.455,-77.72222222222223,-86.33333333333333,,-76.67857142857143,
36.6309,127.4547,-74.96666666666667,-81.23076923076923,-64.47368421052632,-86.14285714285714,-88.78571428571429
36.6309,127.4549,-92.0,,,-90.0,-88.63157894736842
36.6309,127.455,-89.55555555555556,-89.25,,-85.26666666666667,-85.7
36.631,127.4544,-78.39393939393939,-85.38775510204081,-91.16666666666667,-83.86666666666666,
36.6315,127.4537,-90.6774193548387,-93.32,,-81.93478260869566,-81.25
36.6317,127.4536,-83.92592592592592,-89.0,,-74.26086956521739,
36.6322,127.4534,-82.08888888888889,-88.27777777777777,,-78.8913043478261,
36.6325,127.4526,-82.83333333333333,-85.01886792452831,-76.65217391304348,-79.19642857142857,-83.3157894736842
